"TIME","K.kg/m^3"
2021-02-15 06:09:00,0.119164
2021-02-15 07:09:00,0.1192
2021-02-15 08:09:00,0.119191
2021-02-15 09:09:00,0.118905
2021-02-15 10:09:00,0.118375
2021-02-15 11:09:00,0.117357
2021-02-15 13:11:00,0.115177
2021-02-15 14:11:00,0.114971
2021-02-15 15:11:00,0.115028
2021-02-15 16:11:00,0.115494
2021-02-15 17:11:00,0.116067
2021-02-15 18:11:00,0.116659
2021-02-15 19:11:00,0.11718
2021-02-15 20:11:00,0.11743
2021-02-15 21:11:00,0.117764
2021-02-15 22:11:00,0.118049
2021-02-15 23:11:00,0.118353
2021-02-16 00:11:00,0.118668
2021-02-16 01:11:00,0.118957
2021-02-16 02:11:00,0.118992
2021-02-16 03:11:00,0.119098
2021-02-16 04:11:00,0.118748
2021-02-16 05:11:00,0.118916
2021-02-16 06:11:00,0.118895
2021-02-16 07:11:00,0.118666
2021-02-16 08:11:00,0.118629
2021-02-16 09:11:00,0.118153
2021-02-16 10:11:00,0.118489
2021-02-16 11:11:00,0.117482
2021-02-16 12:11:00,0.116877
2021-02-16 13:11:00,0.116376
2021-02-16 14:11:00,0.116063
2021-02-16 15:11:00,0.115885
2021-02-16 16:11:00,0.118038
2021-02-16 17:11:00,0.116639
2021-02-16 18:11:00,0.116735
2021-02-16 19:11:00,0.116785
2021-02-16 20:11:00,0.11682
2021-02-16 21:11:00,0.117059
2021-02-16 22:11:00,0.116971
2021-02-16 23:11:00,0.116945
2021-02-17 00:11:00,0.116887
2021-02-17 01:11:00,0.116931
2021-02-17 02:11:00,0.11691
2021-02-17 03:11:00,0.116808
2021-02-17 04:11:00,0.116616
2021-02-17 05:11:00,0.116468
2021-02-17 06:11:00,0.116565
2021-02-17 07:11:00,0.116428
2021-02-17 08:11:00,0.116315
2021-02-17 09:11:00,0.116185
2021-02-17 10:11:00,0.115852
2021-02-17 11:11:00,0.115609
2021-02-17 12:11:00,0.115313
2021-02-17 13:11:00,0.114946
2021-02-17 14:11:00,0.114824
2021-02-17 15:11:00,0.114865
2021-02-17 16:11:00,0.115193
2021-02-17 17:11:00,0.115808
2021-02-17 18:11:00,0.11621
2021-02-17 19:11:00,0.116481
2021-02-17 20:11:00,0.116774
2021-02-17 21:11:00,0.116771
2021-02-17 22:11:00,0.116864
2021-02-17 23:11:00,0.117005
2021-02-18 00:11:00,0.117025
2021-02-18 01:11:00,0.1171
2021-02-18 02:11:00,0.117141
2021-02-18 03:11:00,0.11721
2021-02-18 04:11:00,0.117016
2021-02-18 05:11:00,0.117286
2021-02-18 06:11:00,0.117358
2021-02-18 07:11:00,0.117833
2021-02-18 08:11:00,0.117779
2021-02-18 09:11:00,0.116961
2021-02-18 10:11:00,0.116853
2021-02-18 11:11:00,0.116262
2021-02-18 12:11:00,0.115186
2021-02-18 13:11:00,0.11483
2021-02-18 14:11:00,0.114559
2021-02-18 15:11:00,0.114907
2021-02-18 16:11:00,0.115745
2021-02-18 17:11:00,0.116251
2021-02-18 18:11:00,0.116811
2021-02-18 19:11:00,0.117428
2021-02-18 20:11:00,0.117603
2021-02-18 21:11:00,0.118125
