"TIME","Amm.kg/m^3"
2020-08-27 20:41:00,1.35117
2020-08-27 21:41:00,1.34044
2020-08-27 22:41:00,1.33204
2020-08-27 23:41:00,1.31989
2020-08-28 00:41:00,1.31568
2020-08-28 01:41:00,1.30583
2020-08-28 02:41:00,1.29619
2020-08-28 03:41:00,1.2836
2020-08-28 04:41:00,1.27698
2020-08-28 05:41:00,1.2683
2020-08-28 06:41:00,1.25029
2020-08-28 07:41:00,1.24656
2020-08-28 08:41:00,1.23957
2020-08-28 09:41:00,0.771146
2020-08-28 10:41:00,0.778949
2020-08-28 11:41:00,0.779997
2020-08-28 12:41:00,0.806215
2020-08-28 13:41:00,0.838234
2020-08-28 14:41:00,0.863139
2020-08-28 15:41:00,0.889433
2020-08-28 16:41:00,0.00183728
2020-08-28 17:41:00,0.00198684
2020-08-28 18:41:00,0.00234883
2020-08-28 19:41:00,0.00237411
2020-08-28 20:41:00,0.00248241
2020-08-28 21:41:00,0.00255804
2020-08-28 22:41:00,0.00265422
2020-08-28 23:41:00,0.00244507
2020-08-29 00:41:00,0.00246088
2020-08-29 01:41:00,0.00239592
2020-08-29 02:41:00,0.00242743
2020-08-29 03:41:00,0.00227161
2020-08-29 04:41:00,0.0023415
2020-08-29 05:41:00,0.00219167
2020-08-29 06:41:00,0.0021797
2020-08-29 07:41:00,0.0018805
2020-08-29 08:41:00,0.00184279
2020-08-29 09:41:00,0.0018428
2020-08-29 10:41:00,0.00173213
2020-08-29 11:41:00,0.00173826
2020-08-29 12:41:00,0.00196987
2020-08-29 13:41:00,0.00229059
2020-08-29 14:41:00,0.00219318
2020-08-29 15:41:00,0.00215313
2020-08-29 16:41:00,0.00304706
2020-08-29 17:41:00,0.00321154
2020-08-29 18:41:00,0.00339954
2020-08-29 19:41:00,0.0035113
2020-08-29 20:41:00,0.00350341
2020-08-29 21:41:00,0.0035037
2020-08-29 22:41:00,0.00354701
2020-08-29 23:41:00,0.00356238
2020-08-30 00:41:00,0.00358809
2020-08-30 01:41:00,0.0034945
2020-08-30 02:41:00,0.00350888
2020-08-30 03:41:00,0.00331039
2020-08-30 05:58:00,0.0033209
2020-08-30 06:58:00,0.00326974
2020-08-30 07:58:00,0.00297993
2020-08-30 08:58:00,0.00289445
2020-08-30 09:58:00,0.00315867
2020-08-30 10:58:00,0.0028404
2020-08-30 11:58:00,0.00273269
2020-08-30 12:58:00,0.00304684
2020-08-30 13:58:00,0.00313142
2020-08-30 14:58:00,0.00336114
2020-08-30 15:58:00,0.00350217
2020-08-30 16:58:00,0.00374422
2020-08-30 17:58:00,0.00387824
2020-08-30 18:58:00,0.00409225
2020-08-30 19:58:00,0.0041171
2020-08-30 20:58:00,0.00405364
2020-08-30 21:58:00,0.00413698
2020-08-30 22:58:00,0.00413808
2020-08-30 23:58:00,0.0040142
2020-08-31 00:58:00,0.0039479
2020-08-31 01:58:00,0.00403683
2020-08-31 02:58:00,0.0038666
2020-08-31 03:58:00,0.00371031
2020-08-31 04:58:00,0.00365441
2020-08-31 05:58:00,0.00326938
2020-08-31 06:58:00,0.00330651
2020-08-31 07:58:00,0.00294509
2020-08-31 08:58:00,0.00301322
2020-08-31 09:58:00,0.0032425
2020-08-31 10:58:00,0.00310398
2020-08-31 11:58:00,0.00312717
2020-08-31 12:58:00,0.0031579
2020-08-31 13:58:00,0.00308588
2020-08-31 14:58:00,0.00316255
